id,price,room_type,property_type,neighbourhood_cleansed,neighbourhood_norm,accommodates,bedrooms,beds,bathrooms,minimum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,host_is_superhost,is_commercial_host,calculated_host_listings_count,host_tenure_years,instant_bookable,latitude,longitude,dist_city_center_km,amenities_count,has_wifi,has_kitchen,has_washer,has_pool,has_pets_allowed,has_free_parking,has_workspace,has_aircon
1151429538714682281,180.0,Entire home/apt,Entire home,Dublin City,Unknown,4,2.0,2.0,1.0,2,29,6,0.48,4.5,False,0,1,9.13347022587269,False,53.35881,-6.24026,1.6691624275837689,21,1,1,1,0,1,0,1,0
1151918962267238265,268.0,Entire home/apt,Entire home,Dublin City,Unknown,8,4.0,4.0,2.0,21,263,2,0.12,3.5,,1,234,7.51813826146475,False,53.370545635020896,-6.330766222832782,5.228804771548725,37,1,1,1,0,1,1,1,0
1152037363007452489,125.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,0.0,1.0,1,163,1,0.25,5.0,False,0,1,9.210130047912388,False,53.34431,-6.23893,1.5488033140791813,25,1,0,0,0,0,1,1,0
1152042041231987333,220.0,Entire home/apt,Entire rental unit,Dublin City,D8,4,2.0,2.0,1.0,1,73,46,2.89,4.33,False,0,2,3.3949349760438055,False,53.34512,-6.28156,1.5086161531967501,26,1,1,1,0,0,0,0,0
1152168977345027395,85.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,1.0,1.0,1,79,0,0.0,,False,0,1,8.509240246406572,False,53.34268,-6.31426,3.6800023985603914,13,1,1,1,0,0,0,1,0
1152198230397335470,455.0,Entire home/apt,Entire home,South Dublin,Unknown,5,3.0,3.0,1.5,2,258,6,0.41,5.0,False,0,1,1.3579739904175223,False,53.30039129911941,-6.308661013080116,6.373435916876027,36,1,1,1,0,0,1,1,0
1152198668249658250,96.0,Entire home/apt,Tiny home,Dn Laoghaire-Rathdown,Unknown,2,1.0,0.0,0.5,1,268,0,0.0,,False,0,1,1.377138945927447,False,53.29778808249366,-6.141147040887441,9.825713570365815,1,0,1,0,0,0,0,0,0
1152721506308078478,238.0,Entire home/apt,Entire condo,Dublin City,Unknown,5,1.0,0.0,1.0,1,167,64,5.07,4.75,False,1,8,4.522929500342231,False,53.34467,-6.2639,0.6192283019490606,27,1,1,0,0,0,0,0,0
1152754704676285454,108.0,Private room,Private room in home,Dn Laoghaire-Rathdown,Unknown,2,1.0,1.0,1.0,2,267,0,0.0,,False,0,1,11.665982203969884,False,53.28558779999999,-6.1462312,10.43356024439157,5,1,1,1,0,0,1,0,0
1152850175313417471,147.0,Private room,Private room in home,South Dublin,Unknown,2,1.0,1.0,5.0,14,259,1,0.21,4.0,False,1,29,7.274469541409993,True,53.3002,-6.37422,9.385652826847181,47,1,1,1,0,0,1,1,0
1152882840229859513,140.0,Entire home/apt,Entire condo,Dublin City,Unknown,2,1.0,1.0,1.0,3,300,41,2.52,4.54,False,1,145,2.9349760438056127,True,53.34816,-6.26845,0.5726143105620553,39,1,1,1,0,0,0,0,0
1152993171600136537,180.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,3,1.0,2.0,1.0,1,266,7,0.43,4.43,False,0,1,1.3552361396303902,False,53.32404427277584,-6.255986850406982,2.8807852712378916,7,1,1,1,0,0,1,0,0
1153000990776547769,140.0,Private room,Private room in home,South Dublin,Unknown,2,1.0,2.0,5.0,14,351,1,0.06,5.0,False,1,29,7.274469541409993,True,53.30012,-6.37476,9.420005490479433,39,1,1,1,0,0,1,0,0
